# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: W:\Electronics\Projects\Mine\Amiga\SMD2000 Bank Switching Agnus Card\Firmware\ECS_ChipRamSwitcher_assignments.csv
# Generated on: Sat Jun 07 11:04:58 2025

Status,From,To,Assignment Name,Value,Enabled,Entity,Comment,Tag
Ok,,CCK,Location,PIN_90,Yes,,,
Ok,,CCKD,Location,PIN_92,Yes,,,
Ok,,CCKQ,Location,PIN_85,Yes,,,
Ok,,CCKQD,Location,PIN_87,Yes,,,
Ok,,RGA[1],Location,PIN_6,Yes,,,
Ok,,RGA[2],Location,PIN_8,Yes,,,
Ok,,RGA[3],Location,PIN_9,Yes,,,
Ok,,RGA[4],Location,PIN_10,Yes,,,
Ok,,RGA[5],Location,PIN_13,Yes,,,
Ok,,RGA[6],Location,PIN_14,Yes,,,
Ok,,RGA[7],Location,PIN_16,Yes,,,
Ok,,RGA[8],Location,PIN_17,Yes,,,
Ok,,_RST,Location,PIN_89,Yes,,,
Ok,,SIZE,Location,PIN_96,Yes,,,
Ok,,NUMBANKS[0],Location,PIN_58,Yes,,,
Ok,,NUMBANKS[1],Location,PIN_57,Yes,,,
Ok,,NUMBANKS[2],Location,PIN_56,Yes,,,
Ok,,NUMBANKS[3],Location,PIN_54,Yes,,,
Ok,,LED1,Location,PIN_98,Yes,,,
Ok,,LED2,Location,PIN_99,Yes,,,
Ok,,LED3,Location,PIN_100,Yes,,,
Ok,,BANKSEL[0],Location,PIN_52,Yes,,,
Ok,,BANKSEL[1],Location,PIN_48,Yes,,,
Ok,,BANKSEL[2],Location,PIN_47,Yes,,,
Ok,,BANKSEL[3],Location,PIN_46,Yes,,,
Ok,,BANKSEL[4],Location,PIN_45,Yes,,,
Ok,,BANKSEL[5],Location,PIN_44,Yes,,,
Ok,,BANKSEL[6],Location,PIN_41,Yes,,,
Ok,,BANKSEL[7],Location,PIN_40,Yes,,,
Ok,,BANKSEL[8],Location,PIN_37,Yes,,,
Ok,,BANKSEL[9],Location,PIN_36,Yes,,,
Ok,,BANKSEL[10],Location,PIN_35,Yes,,,
Ok,,BANKSEL[11],Location,PIN_33,Yes,,,
Ok,,BANKSEL[12],Location,PIN_32,Yes,,,
Ok,,BANKSEL[13],Location,PIN_31,Yes,,,
Ok,,BANKSEL[14],Location,PIN_30,Yes,,,
Ok,,BANKSEL[15],Location,PIN_29,Yes,,,
Ok,,TCK,Location,PIN_62,Yes,,,
Ok,,TDI,Location,PIN_4,Yes,,,
Ok,,TDO,Location,PIN_73,Yes,,,
Ok,,TMS,Location,PIN_15,Yes,,,
Ok,,LED0,Location,PIN_97,Yes,,,
Ok,,DRDO[0],Location,PIN_84,Yes,,,
Ok,,DRDO[1],Location,PIN_83,Yes,,,
Ok,,DRDO[2],Location,PIN_81,Yes,,,
Ok,,DRDO[3],Location,PIN_80,Yes,,,
Ok,,DRDO[4],Location,PIN_79,Yes,,,
Ok,,DRDO[5],Location,PIN_76,Yes,,,
Ok,,DRDO[6],Location,PIN_75,Yes,,,
Ok,,DRDO[7],Location,PIN_71,Yes,,,
Ok,,DRDI[8],Location,PIN_69,Yes,,,
Ok,,DRDI[9],Location,PIN_68,Yes,,,
Ok,,DRDI[10],Location,PIN_67,Yes,,,
Ok,,DRDI[11],Location,PIN_65,Yes,,,
Ok,,DRDI[12],Location,PIN_64,Yes,,,
Ok,,DRDI[13],Location,PIN_63,Yes,,,
Ok,,DRDI[14],Location,PIN_61,Yes,,,
Ok,,DRDI[15],Location,PIN_60,Yes,,,
,<<new>>,<<new>>,<<new>>,,,,,
