"Reference","Value","Datasheet","Footprint","Qty","DNP","#","Comment","Height","LCSC Part #","Manufacturer","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Description"
"C101,C300,C301,C302,C303,C304,C305,C306,C307,C308,C309,C310,C311,C312,C313,C314,C315,C316,C317","0.33 uF","http://datasheets.avx.com/X7RDielectric.pdf","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","19","","1","","0.94","","","AVX","0805YC334KAT2A","581-0805YC334K","https://au.mouser.com/ProductDetail/KYOCERA-AVX/0805YC334KAT2A?qs=u%252BjgO1JDl4lC12Myrz%2FPSg%3D%3D","Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V 0.33uF X7R 0805 10%"
"C102,C103,C104,C110,C201,C202,C203,C204,C205,C206,C207,C208,C210,C320","0.1 uF","http://datasheets.avx.com/X7RDielectric.pdf","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","14","","2","","0.94","C123316","","AVX","08055C104KAT2A","581-08055C104K","https://www.mouser.co.uk/ProductDetail/AVX/08055C104KAT2A?qs=2ujN4bDBNE9mJvapP%252BjopA%3D%3D","0805 X7R ceramic capacitor,100nF 50V AVX 0805 Standard 100nF Ceramic Multilayer Capacitor, 50 V dc, +125degC, X7R Dielectric,  /-10% SMD"
"C105,C106,C200","47 uF","http://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1142.pdf","SMD2000_Footprints:EEE0GA101SR","3","","3","","6.5","C178500","","Panasonic","EEE-1CA470WAR","667-EEE-1CA470WAR","https://www.mouser.co.uk/ProductDetail/Panasonic/EEE-1CA470WAR?qs=d1CqaRUMZD%2FiYn4JMv7QWw%3D%3D","Cap Aluminum Lytic 47uF 16V 20% (5 X 5.4mm) SMD 39mA 1000h 85C Automotive T/R"
"C107","1 uF","https://componentsearchengine.com/Datasheets/2/08055C105KAT2A.pdf","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","4","","1.4","C2167382","","AVX","08055C105KAT2A","581-08055C105KAT2A","https://www.mouser.co.uk/ProductDetail/AVX/08055C105KAT2A?qs=2ujN4bDBNE9BNQHBgLvfKA%3D%3D","MLCC Capacitor 1uF 0805 X7R 10% 50V AVX 0805 Standard 1uF Ceramic Multilayer Capacitor, 50 V, +125C, X7R Dielectric, +/-10%"
"CN101","CN_Conn_02x40_Odd_Even","http://suddendocs.samtec.com/prints/ssw-1xx-xx-xxx-x-xx-xxx-xx-mkt.pdf","Connector_PinHeader_2.54mm:PinHeader_2x40_P2.54mm_Vertical","1","","5","","","","","Samtec","SSW-140-02-T-D-RA","200-SSW14002TDRA","https://au.mouser.com/ProductDetail/Samtec/SSW-140-02-T-D-RA?qs=rU5fayqh%252BE1SGEctTe5uyA%3D%3D",""
"CN102","EXTERNAL POWER","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=171825&DocType=Customer+Drawing&DocLang=English","SMD2000_Footprints:HDRV4W69P0X250_1X4_1000X500X1040P","1","","6","","10.4","","","TE Connectivity","171825-4","571-1718254","https://www.mouser.co.uk/ProductDetail/TE-Connectivity/171825-4?qs=4hg9R9g9MDuX23iAMtZp8g%3D%3D",""
"CN200","JTAG","https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","1","","7","","","","","Amphenol FCI","67997-410HLF","649-67997-410HLF","https://au.mouser.com/ProductDetail/Amphenol-FCI/67997-410HLF?qs=EEeFj3a206OMu9AFYw1RTQ%3D%3D",""
"D200,D201","GREEN","https://katalog.we-online.com/led/datasheet/150080GS75000.pdf","SMD2000_Footprints:LEDM2012X80N","2","","8","","0.8","","","Wurth Elektronik","150080GS75000","710-150080GS75000","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/150080GS75000?qs=2kOmHSv6VfQRoTEZVk1mGA%3D%3D","150080GS75000, Wurth Elektronik WL-SMCW 520 nm Green LED, 2012 (0805) Clear SMD package"
"D202,D203,D204,D205,D206,D207,D208,D209,D210,D211,D212,D213,D214,D215","AMBER","https://www.we-online.com/components/products/datasheet/150080AS75000.pdf","SMD2000_Footprints:LEDM2012X80N","14","","9","","0.8","","","Wurth Elektronik","150080AS75000","710-150080AS75000","https://au.mouser.com/ProductDetail/Wurth-Elektronik/150080AS75000?qs=sPbYRqrBIVkeO9bp3fBTig%3D%3D","150080GS75000, Wurth Elektronik WL-SMCW 520 nm Green LED, 2012 (0805) Clear SMD package"
"D216","LED0","https://katalog.we-online.com/led/datasheet/150080BS75000.pdf","SMD2000_Footprints:LEDC2012X80N","1","","10","","0.8","C9900019499","","Wurth Elektronik","150080BS75000","710-150080BS75000","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/150080BS75000?qs=2kOmHSv6VfT2tBo3UPVqAQ%3D%3D","LED,Wurth Elektronik,150080BS75000 Wurth Elektronik 150080BS75000, WL-SMCW Series Blue LED, 470 nm 2012 (0805) Clear, Rectangle Lens SMD package"
