Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C300, C301, C302, C303, C304, C305, C306, C307, C308, C309, C310, C311, C312, C313, C314, C315, C316, C317",0805,19,0.33 uF,
"C102, C103, C104, C110, C201, C202, C203, C204, C205, C206, C207, C208, C210, C320",0805,14,0.1 uF,C123316
"C105, C106, C200",EEE0GA101SR,3,47 uF,C178500
C107,0805,1,1 uF,C2167382
CN101,PinHeader_2x40_P2.54mm_Vertical,1,CN_Conn_02x40_Odd_Even,
CN102,HDRV4W69P0X250_1X4_1000X500X1040P,1,EXTERNAL POWER,
CN200,PinHeader_2x05_P2.54mm_Vertical,1,JTAG,
"D200, D201",LEDM2012X80N,2,GREEN,
"D202, D203, D204, D205, D206, D207, D208, D209, D210, D211, D212, D213, D214, D215",LEDM2012X80N,14,AMBER,
D216,LEDC2012X80N,1,LED0,C9900019499
D217,LEDC2012X80N,1,LED1,C9900019499
D218,LEDC2012X80N,1,LED2,
D219,LEDC2012X80N,1,LED3,
E101,0805,1,22 pF,
FB101,1206,1,FB,C6401928
"J101, J206, J207",SolderJumper-3_P1.3mm_Bridged23_RoundedPad1.0x1.5mm_NumberLabels,3,SolderJumper_3_Bridged23,
J201,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,NB0(1s),
J202,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,NB1(2s),
J203,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,NB2(4s),
J204,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,NB3(8s),
J205,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,SIZE,
"R101, R102, RP110.10, RP110.9",0805,4,4.7K,C4279556
"RP101, RP102, RP103, RP104, RP300, RP301",CAY1647R0F4LF,6,68R,
"RP110, RP111, RP222, RP302, RP303",EXBD10C102J,5,4.7k x8,C2654036
"RP201, RP202, RP203, RP204, RP205",CAY16-103J4LF,5,330R,
U101,PLCC-84_THT-Socket,1,SUPER FAT LADY 8375,
U102,SOIC127P1030X265-20N,1,SN74F373DWR,
"U103, U320",SOIC127P1030X265-20N,2,SN74F244DWR,
U104,SOIC127P600X175-16N,1,CD74AC139M96,
U201,QFP50P1600X1600X120-100N,1,ATF1504AS-7AX100,
U210,SOIC127P600X175-16N,1,SN74LS31D,
"U300, U301, U302, U303, U304, U305",SOJ-40_10.16x23.49mm_P1.27mm,6,16x256k,
X101,Oscillator_DIP-14,1,28.37516MHz,
