Designator,Mid X,Mid Y,Rotation,Layer
C101,125.222,-149.098,0.0,bottom
C102,146.304,-121.8692,0.0,top
C103,148.7932,-138.8364,0.0,top
C104,142.494,-124.4092,0.0,bottom
C105,185.166,-154.813,0.0,top
C106,103.124,-102.764,270.0,top
C107,185.166,-152.5016,180.0,bottom
C110,166.878,-137.922,270.0,bottom
C200,170.709,-90.297,0.0,top
C201,124.46,-117.475,180.0,top
C202,135.255,-116.84,180.0,top
C203,134.62,-108.458,180.0,bottom
C204,134.62,-105.664,180.0,bottom
C205,135.255,-93.98,270.0,bottom
C206,125.603,-94.107,0.0,top
C207,126.238,-102.489,90.0,bottom
C208,125.73,-107.95,0.0,bottom
C210,115.443,-98.044,0.0,top
C300,176.8055,-123.0376,0.0,bottom
C301,192.6629,-123.0376,0.0,bottom
C302,200.152,-130.81,90.0,bottom
C303,185.166,-133.0159,270.0,bottom
C304,176.5515,-152.8064,0.0,bottom
C305,195.2459,-152.7556,0.0,bottom
C306,146.812,-88.392,0.0,bottom
C307,151.257,-100.965,270.0,top
C308,146.812,-118.618,0.0,bottom
C309,162.052,-88.646,0.0,bottom
C310,162.052,-98.425,180.0,top
C311,162.052,-118.618,0.0,bottom
C312,177.292,-88.646,0.0,bottom
C313,179.07,-96.52,180.0,top
C314,177.292,-118.491,0.0,bottom
C315,192.913,-88.646,0.0,bottom
C316,192.913,-98.425,180.0,top
C317,192.913,-118.491,0.0,bottom
C320,179.07,-99.949,0.0,top
CN101,149.86,-162.306,90.0,top
CN102,102.362,-92.135,90.0,top
CN200,115.062,-90.424,90.0,top
D200,142.814,-87.757,0.0,top
D201,142.814,-89.662,0.0,top
D202,142.814,-91.567,0.0,top
D203,142.814,-93.472,0.0,top
D204,142.814,-95.377,0.0,top
D205,142.814,-97.282,0.0,top
D206,142.814,-99.187,0.0,top
D207,142.814,-101.092,0.0,top
D208,142.836,-103.054,0.0,top
D209,142.836,-104.959,0.0,top
D210,142.836,-106.864,0.0,top
D211,142.836,-108.769,0.0,top
D212,142.836,-110.674,0.0,top
D213,142.836,-112.579,0.0,top
D214,142.836,-114.484,0.0,top
D215,142.836,-116.389,0.0,top
D216,114.3,-110.998,180.0,top
D217,114.3,-113.411,180.0,top
D218,114.3,-115.824,180.0,top
D219,114.3,-118.237,180.0,top
E101,162.56,-156.3624,0.0,bottom
FB101,163.068,-153.924,0.0,bottom
R101,160.8836,-146.05,90.0,bottom
R102,162.814,-146.05,90.0,bottom
RP101,152.4,-145.3896,90.0,bottom
RP102,152.4,-150.622,90.0,bottom
RP103,161.925,-131.445,180.0,bottom
RP104,156.718,-131.445,0.0,bottom
RP110,147.8788,-147.574,90.0,bottom
RP110.10,147.32,-126.492,270.0,bottom
RP110.9,150.114,-133.588,90.0,bottom
RP111,150.5712,-122.999,90.0,bottom
RP201,152.339,-89.789,0.0,top
RP202,152.339,-97.409,0.0,top
RP203,152.273,-105.156,0.0,top
RP204,152.273,-112.395,0.0,top
RP205,105.41,-114.554,0.0,top
RP222,136.144,-92.075,0.0,top
RP300,161.29,-107.95,90.0,top
RP301,192.405,-107.95,270.0,top
RP302,166.815,-107.633,270.0,top
RP303,186.69,-107.95,270.0,top
U101,117.602,-138.938,180.0,top
U102,144.806,-146.685,0.0,top
U103,144.679,-129.667,0.0,top
U104,142.195,-130.81,0.0,bottom
U201,130.048,-105.156,90.0,top
U210,113.792,-104.394,0.0,top
U300,177.292,-136.398,0.0,bottom
U301,192.659,-136.3726,0.0,bottom
U302,146.558,-102.87,0.0,bottom
U303,161.925,-102.87,0.0,bottom
U304,177.292,-102.87,0.0,bottom
U305,192.659,-102.87,0.0,bottom
U320,177.8,-107.95,0.0,top
X101,163.068,-148.463,270.0,top
